date,temperature,humidity,luminosity
2022-11-16 20:51:53.404,25.9,48.8,86
2022-11-16 20:51:48.359,25.8,48.7,88
2022-11-16 20:51:43.312,25.8,48.7,86
2022-11-16 20:51:38.267,25.9,48.7,86
2022-11-16 20:51:33.222,25.9,48.8,86
2022-11-16 20:51:28.180,25.9,48.7,86
2022-11-16 20:51:23.135,25.9,48.7,85
2022-11-16 20:51:18.090,25.8,48.8,86
2022-11-16 20:51:13.044,25.9,48.8,85
2022-11-16 20:51:07.999,25.9,48.7,85
2022-11-16 20:51:02.954,25.9,48.7,85
2022-11-16 20:50:57.911,25.8,48.7,86
2022-11-16 20:50:52.866,25.9,48.7,85
2022-11-16 20:50:47.819,25.9,48.8,89
2022-11-16 20:50:42.774,25.9,48.7,87
2022-11-16 20:50:37.729,25.8,48.7,88
2022-11-16 20:50:32.684,25.9,48.8,88
2022-11-16 20:50:27.639,25.9,48.7,87
2022-11-16 20:50:22.596,25.9,48.7,89
2022-11-16 20:50:17.551,25.9,48.7,87
2022-11-16 20:50:12.506,25.9,48.7,89
2022-11-16 20:50:07.460,25.8,48.7,87
2022-11-16 20:50:02.416,25.8,48.8,89
2022-11-16 20:49:57.371,25.8,48.7,87
2022-11-16 20:49:52.327,25.9,48.7,89
2022-11-16 20:49:47.281,25.9,48.7,88
2022-11-16 20:49:42.239,25.8,48.7,87
2022-11-16 20:49:37.195,25.9,48.8,89
2022-11-16 20:49:32.149,25.9,48.7,87
2022-11-16 20:49:27.106,25.8,48.7,88
2022-11-16 20:49:22.061,25.8,48.7,88
2022-11-16 20:49:17.016,25.8,48.6,89
2022-11-16 20:49:11.970,25.8,48.7,88
2022-11-16 20:49:06.926,25.8,48.7,88
2022-11-16 20:49:01.880,25.8,48.7,89
2022-11-16 20:48:56.836,25.8,48.7,88
2022-11-16 20:48:51.790,25.8,48.7,88
2022-11-16 20:48:46.744,25.8,48.8,89
2022-11-16 20:48:41.699,25.8,48.7,88
2022-11-16 20:48:36.654,25.8,48.7,87
2022-11-16 20:48:31.608,25.8,48.7,88
2022-11-16 20:48:26.564,25.8,48.7,88
2022-11-16 20:48:21.521,25.8,48.7,89
2022-11-16 20:48:16.475,25.8,48.7,88
2022-11-16 20:48:11.431,25.8,48.7,87
2022-11-16 20:48:06.386,25.8,48.7,87
2022-11-16 20:48:01.343,25.8,48.6,87
2022-11-16 20:47:56.298,25.8,48.7,88
2022-11-16 20:47:51.253,25.9,48.7,88
2022-11-16 20:47:46.209,25.9,48.7,86
2022-11-16 20:47:41.164,25.8,48.7,86
2022-11-16 20:47:36.119,25.8,48.8,87
2022-11-16 20:47:31.074,25.8,48.7,87
2022-11-16 20:47:26.029,25.8,48.7,87
2022-11-16 20:47:20.986,25.8,48.7,89
2022-11-16 20:47:15.942,25.8,48.8,86
2022-11-16 20:47:10.897,25.8,48.8,87
2022-11-16 20:47:05.853,25.8,48.8,88
2022-11-16 20:47:00.808,25.8,48.7,88
2022-11-16 20:46:55.764,25.8,48.8,90
2022-11-16 20:46:50.719,25.8,48.9,89
2022-11-16 20:46:45.675,25.8,48.8,89
2022-11-16 20:46:40.631,25.8,48.8,89
2022-11-16 20:46:35.587,25.8,48.8,88
2022-11-16 20:46:30.542,25.8,48.8,89
2022-11-16 20:46:25.500,25.8,48.9,89
2022-11-16 20:46:20.455,25.8,49.0,90
2022-11-16 20:46:15.410,25.8,48.9,88
2022-11-16 20:46:10.364,25.8,48.9,90
2022-11-16 20:46:05.319,25.8,48.6,88
2022-11-16 20:46:00.274,25.8,48.7,90
2022-11-16 20:45:55.229,25.8,48.7,87
2022-11-16 20:45:50.183,25.8,48.6,88
2022-11-16 20:45:45.138,25.8,48.7,87
2022-11-16 20:45:40.093,25.8,48.7,88
2022-11-16 20:45:35.049,25.8,48.7,87
2022-11-16 20:45:30.004,25.8,48.7,88
2022-11-16 20:45:24.959,25.8,48.6,86
2022-11-16 20:45:19.915,25.8,48.6,87
2022-11-16 20:45:14.870,25.8,48.6,86
2022-11-16 20:45:09.828,25.8,48.6,87
2022-11-16 20:45:04.783,25.8,48.6,86
2022-11-16 20:44:59.737,25.8,48.6,87
2022-11-16 20:44:54.693,25.8,48.7,86
2022-11-16 20:44:49.648,25.8,48.7,87
2022-11-16 20:44:44.603,25.8,48.7,86
2022-11-16 20:44:39.557,25.8,48.7,88
2022-11-16 20:44:34.512,25.8,48.7,86
2022-11-16 20:44:29.467,25.8,48.7,87
2022-11-16 20:44:24.423,25.8,48.7,86
2022-11-16 20:44:19.381,25.8,48.7,87
2022-11-16 20:44:14.336,25.8,48.7,86
2022-11-16 20:44:09.292,25.8,48.7,86
2022-11-16 20:44:04.249,25.8,48.8,87
2022-11-16 20:43:59.205,25.9,48.7,85
2022-11-16 20:43:54.159,25.9,48.7,87
2022-11-16 20:43:49.114,25.8,48.7,85
2022-11-16 20:43:44.072,25.8,48.8,86
2022-11-16 20:43:39.027,25.8,48.8,86
2022-11-16 20:43:33.982,25.8,48.8,72
2022-11-16 20:43:28.939,25.8,48.7,73
2022-11-16 20:43:23.895,25.8,48.7,63
2022-11-16 20:43:18.850,25.8,48.6,62
2022-11-16 20:43:13.808,25.8,48.7,62
2022-11-16 20:43:08.765,25.8,48.6,63
2022-11-16 20:43:03.720,25.8,48.6,62
2022-11-16 20:42:58.676,25.8,48.6,63
2022-11-16 20:42:53.630,25.8,48.6,63
2022-11-16 20:42:48.588,25.8,48.5,62
2022-11-16 20:42:43.543,25.7,48.5,63
2022-11-16 20:42:38.497,25.7,48.5,51
2022-11-16 20:42:33.453,25.8,48.5,62
2022-11-16 20:42:28.408,25.7,48.5,62
2022-11-16 20:42:23.363,25.7,48.5,62
2022-11-16 20:42:18.317,25.7,48.5,62
2022-11-16 20:42:13.273,25.7,48.6,63
2022-11-16 20:42:08.228,25.8,48.5,62
2022-11-16 20:42:03.182,25.8,48.5,61
2022-11-16 20:41:58.139,25.8,48.6,62
2022-11-16 20:41:53.093,25.7,48.5,62
2022-11-16 20:41:48.047,25.8,48.5,62
2022-11-16 20:41:43.004,25.8,48.6,62
2022-11-16 20:41:37.958,25.8,48.4,62
2022-11-16 20:41:32.914,25.7,48.5,62
2022-11-16 20:41:27.868,25.8,48.5,63
2022-11-16 20:41:22.824,25.7,48.5,62
2022-11-16 20:41:17.779,25.7,48.5,62
2022-11-16 20:41:12.734,25.7,48.5,73
2022-11-16 20:41:07.691,25.7,48.4,64
2022-11-16 20:41:02.647,25.7,48.5,75
2022-11-16 20:40:57.603,25.7,48.5,76
2022-11-16 20:40:52.558,25.7,48.4,75
2022-11-16 20:40:47.513,25.7,48.4,62
2022-11-16 20:40:42.469,25.8,48.3,63
2022-11-16 20:40:37.426,25.7,48.4,62
2022-11-16 20:40:32.380,25.8,48.5,61
2022-11-16 20:40:27.335,25.8,48.4,61
2022-11-16 20:40:22.292,25.7,48.4,62
2022-11-16 20:40:17.247,25.8,48.4,63
2022-11-16 20:40:12.205,25.7,48.4,61
2022-11-16 20:40:07.159,25.8,48.5,62
2022-11-16 20:40:02.116,25.7,48.4,73
2022-11-16 20:39:57.073,25.7,48.4,71
2022-11-16 20:39:52.027,25.7,48.5,68
2022-11-16 20:39:46.984,25.8,48.3,72
2022-11-16 20:39:41.942,25.7,48.5,72
2022-11-16 20:39:36.895,25.7,48.3,72
2022-11-16 20:39:31.852,25.7,48.4,73
2022-11-16 20:39:26.808,25.7,48.4,71
2022-11-16 20:39:21.763,25.8,48.4,72
2022-11-16 20:39:16.719,25.8,48.4,72
2022-11-16 20:39:11.676,25.7,48.4,73
2022-11-16 20:39:06.630,25.7,48.4,72
2022-11-16 20:39:01.585,25.8,48.4,68
2022-11-16 20:38:56.541,25.8,48.4,66
2022-11-16 20:38:51.498,25.7,48.4,67
2022-11-16 20:38:46.456,25.7,48.5,68
2022-11-16 20:38:41.411,25.7,48.5,66
2022-11-16 20:38:36.366,25.8,48.5,68
2022-11-16 20:38:31.321,25.7,48.6,67
2022-11-16 20:38:26.278,25.8,48.6,67
2022-11-16 20:38:21.233,25.8,48.6,73
2022-11-16 20:38:16.190,25.7,48.3,71
2022-11-16 20:38:11.146,25.8,48.3,73
2022-11-16 20:38:06.102,25.8,48.4,71
2022-11-16 20:38:01.060,25.7,48.3,73
2022-11-16 20:37:56.014,25.7,48.3,71
2022-11-16 20:37:50.969,25.8,48.3,72
2022-11-16 20:37:45.927,25.7,48.4,71
2022-11-16 20:37:40.882,25.7,48.3,73
2022-11-16 20:37:35.837,25.8,48.3,62
2022-11-16 20:37:30.792,25.7,48.3,68
2022-11-16 20:37:25.747,25.8,48.3,66
2022-11-16 20:37:20.702,25.8,48.2,65
2022-11-16 20:37:15.657,25.7,48.3,65
2022-11-16 20:37:10.612,25.7,48.2,65
2022-11-16 20:37:05.569,25.7,48.3,66
2022-11-16 20:37:00.523,25.8,48.2,65
2022-11-16 20:36:55.478,25.8,48.2,66
2022-11-16 20:36:50.434,25.7,48.2,65
2022-11-16 20:36:45.388,25.8,48.2,67
2022-11-16 20:36:40.343,25.8,48.2,65
2022-11-16 20:36:35.301,25.8,48.2,65
2022-11-16 20:36:30.256,25.7,48.2,67
2022-11-16 20:36:25.213,25.7,48.3,66
2022-11-16 20:36:20.168,25.7,48.2,66
2022-11-16 20:36:15.125,25.7,48.2,66
2022-11-16 20:36:10.082,25.8,48.2,65
2022-11-16 20:36:05.039,25.7,48.2,65
2022-11-16 20:35:59.996,25.7,48.2,64
2022-11-16 20:35:54.950,25.7,48.1,65
2022-11-16 20:35:49.907,25.8,48.1,64
2022-11-16 20:35:44.862,25.7,48.1,66
2022-11-16 20:35:39.818,25.7,48.2,65
2022-11-16 20:35:34.774,25.7,48.2,64
2022-11-16 20:35:29.729,25.7,48.2,65
2022-11-16 20:35:24.685,25.7,48.2,64
2022-11-16 20:35:19.640,25.7,48.1,66
2022-11-16 20:35:14.595,25.7,48.2,65
2022-11-16 20:35:09.550,25.7,48.2,65
2022-11-16 20:35:04.505,25.7,48.2,65
2022-11-16 20:34:59.461,25.7,48.1,65
2022-11-16 20:34:54.416,25.7,48.2,66
2022-11-16 20:34:49.371,25.7,48.1,66
2022-11-16 20:34:44.325,25.7,48.2,65
2022-11-16 20:34:39.280,25.7,48.2,66
2022-11-16 20:34:34.235,25.7,48.2,70
2022-11-16 20:34:29.192,25.7,48.1,69
2022-11-16 20:34:24.147,25.7,48.1,71
2022-11-16 20:34:19.104,25.7,48.1,70
2022-11-16 20:34:14.060,25.7,48.1,69
2022-11-16 20:34:09.014,25.7,48.0,69
2022-11-16 20:34:03.968,25.7,48.0,68
2022-11-16 20:33:58.924,25.7,48.1,69
2022-11-16 20:33:53.881,25.7,48.0,69
2022-11-16 20:33:48.836,25.7,48.1,66
2022-11-16 20:33:43.793,25.7,47.9,64
2022-11-16 20:33:38.747,25.7,47.9,65
2022-11-16 20:33:33.703,25.7,47.9,65
2022-11-16 20:33:28.659,25.7,48.0,65
2022-11-16 20:33:23.616,25.7,47.9,65
2022-11-16 20:33:18.569,25.7,48.0,66
2022-11-16 20:33:13.526,25.7,48.0,65
2022-11-16 20:33:08.481,25.7,47.9,66
2022-11-16 20:33:03.436,25.6,48.0,65
2022-11-16 20:32:58.392,25.7,47.9,65
2022-11-16 20:32:53.349,25.7,48.0,66
2022-11-16 20:32:48.307,25.6,47.9,65
2022-11-16 20:32:43.262,25.7,47.9,65
2022-11-16 20:32:38.219,25.7,48.0,66
2022-11-16 20:32:33.176,25.6,48.0,64
2022-11-16 20:32:28.131,25.6,48.0,66
2022-11-16 20:32:23.088,25.6,48.0,65
2022-11-16 20:32:18.044,25.7,48.0,65
2022-11-16 20:32:12.999,25.6,48.0,66
2022-11-16 20:32:07.954,25.6,47.9,64
